,Unnamed: 0,Source 1,Source 1.1,Therapeutic Area in CTMS,TA Code in Directory,Compound,Study,DPN(Compound-Study),Exist in File Size Extract,new studies,Study Status,DM CRO for AWS SAS,Snapshot Flag,Other Flag,Status,Phase,Protocol Approval,FPFV,LPLV Final,Last DBL,Final CSR,Data Scenario
48,386,A,A,Oncology,DN,178,468,DN178-468,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,20/04/2012,16/07/2012,04/12/2014,03/03/2015,26/08/2015,1d
49,387,A,A,Virology,lo,672,854,lo672-854,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,13/07/2012,27/07/2012,16/10/2012,09/01/2013,25/06/2013,2a
50,388,A,A,Oncology,DN,163,805,DN163-805,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase OTH,03/10/2012,19/03/2013,30/07/2014,18/11/2014,24/07/2015,1d
51,389,A,A,Virology,lo,208,954,lo208-954,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,25/05/2015,07/07/2015,21/09/2015,18/11/2015,27/04/2016,2a
52,390,A,A,Neuroscience,JB,800,268,JB800-268,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase I,18/03/2008,11/03/2008,09/06/2008,15/07/2008,04/06/2009,1e
53,391,A,A,Oncology,DN,296,916,DN296-916,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase I,02/02/2007,23/05/2000,21/02/2013,10/11/2009,15/04/2010,1d
54,392,A,A,Oncology,DN,623,953,DN623-953,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,13/11/2012,22/03/2013,23/08/2016,04/10/2016,10/08/2017,1c
55,393,A,A,Oncology,DN,623,980,DN623-980,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,26/08/2011,15/02/2012,13/04/2016,03/06/2016,07/04/2017,1d
56,394,A,A,Virology,lo,672,394,lo672-394,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,12/05/2014,04/06/2014,29/07/2014,15/09/2014,21/01/2015,2a
57,395,A,A,Virology,lo,846,607,lo846-607,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase OTH,09/03/2010,28/05/2010,16/04/2015,,04/09/2015,7
58,396,A,A,Neuroscience,JB,513,839,JB513-839,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,26/01/2012,22/02/2012,12/04/2012,15/06/2012,17/12/2012,2a
59,397,A,A,Virology,lo,208,428,lo208-428,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,31/10/2011,06/02/2012,27/05/2012,15/11/2012,23/05/2013,1d
60,398,A,A,Immunoscience,jN,255,428,jN255-428,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,23/12/2016,26/01/2017,24/02/2017,19/04/2017,03/10/2017,2a
61,399,A,A,Cardiovascular,gt,290,916,gt290-916,Yes,,Not Applicable,Yes,Active,Not Available,Operationally Closed,Phase I,09/05/2017,22/06/2017,20/07/2017,07/12/2017,12/06/2018,1d
62,400,A,A,Cardiovascular,gt,867,862,gt867-862,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,02/11/2016,10/11/2016,16/01/2017,08/03/2017,21/08/2017,2a
63,401,A,A,Oncology,DN,123,949,DN123-949,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,25/10/2017,06/11/2017,23/12/2017,04/04/2018,05/12/2018,1d
64,402,A,A,Cardiovascular,gt,179,950,gt179-950,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,01/07/2013,25/07/2013,04/11/2013,31/01/2014,03/07/2014,2a
65,403,A,A,Immunoscience,jN,163,566,jN163-566,Yes,,Not Applicable,Not Available,Not Available,Study not in Extract,Operationally Closed,Phase OTH,16/06/2008,16/04/2009,30/08/2011,09/11/2011,30/09/2012,7
66,404,A,A,Oncology,DN,53,179,DN053-179,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase I,10/06/2010,13/08/2010,13/01/2017,,03/06/2019,7
67,405,A,A,Neuroscience,JB,377,661,JB377-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,19/09/2011,21/11/2011,15/06/2012,13/12/2012,09/07/2013,1d
68,406,A,A,Cardiovascular,gt,179,841,gt179-841,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,29/08/2012,04/01/2013,27/03/2013,15/05/2013,03/03/2014,2a
69,407,A,A,Immunoscience,jN,741,661,jN741-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,20/03/2017,03/05/2017,29/11/2017,27/02/2018,27/11/2018,1c
70,408,A,A,Cardiovascular,gt,512,461,gt512-461,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,11/02/2015,08/09/2015,02/03/2016,10/10/2016,14/02/2017,1c
71,409,A,A,Virology,lo,672,394,lo672-394,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,21/09/2011,09/02/2012,19/03/2018,03/05/2018,11/09/2018,1c
72,410,A,A,Virology,lo,252,95,lo252-095,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,06/09/2015,16/12/2015,12/04/2017,09/10/2017,23/02/2018,1c
73,411,A,A,Oncology,DN,163,342,DN163-342,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase IV,29/09/2011,29/02/2012,17/08/2017,13/09/2017,25/01/2018,1a
74,412,A,A,Virology,lo,762,937,lo762-937,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase IIIB,02/02/2010,07/07/2010,03/04/2018,02/05/2018,04/09/2018,1d
75,413,A,A,Oncology,DN,753,219,DN753-219,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIA,13/06/2008,20/02/2009,14/12/2012,11/02/2013,24/06/2013,1d
76,414,A,A,Virology,lo,762,668,lo762-668,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIIB,08/10/2009,17/05/2010,18/02/2014,02/04/2014,22/09/2014,1d
77,415,A,A,Oncology,DN,813,881,DN813-881,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase II,26/02/2014,08/03/2014,11/07/2018,10/09/2018,09/01/2019,7
78,416,A,A,Oncology,DN,387,841,DN387-841,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,10/03/2008,24/07/2008,31/03/2014,10/09/2014,15/01/2015,1d
79,417,A,A,Immunoscience,jN,163,317,jN163-317,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I/II,19/07/2012,28/10/2013,06/12/2016,22/02/2017,19/05/2017,1c
80,418,A,A,Metabolics,Tb,192,661,Tb192-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,19/06/2012,30/08/2012,23/07/2013,18/03/2014,15/07/2014,1d
81,419,A,A,Virology,lo,166,953,lo166-953,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIA,16/12/2009,27/04/2010,07/05/2012,18/06/2012,15/11/2012,1d
82,420,A,A,Virology,lo,166,801,lo166-801,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,23/04/2012,02/07/2012,24/07/2012,11/10/2012,04/06/2013,1d
83,421,A,A,Neuroscience,JB,832,980,JB832-980,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,17/01/2012,25/02/2012,29/05/2012,24/10/2012,20/05/2013,1d
84,422,A,A,Virology,lo,666,385,lo666-385,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,14/03/2014,09/04/2014,21/05/2014,18/07/2014,02/03/2015,2a
85,423,A,A,Oncology,DN,53,845,DN053-845,No,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IV,04/12/2014,,,,07/12/2017,7
86,424,A,A,Virology,lo,166,862,lo166-862,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,16/03/2012,11/05/2012,09/12/2013,10/01/2014,22/07/2014,1d
87,425,A,A,Oncology,DN,163,572,DN163-572,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase II,17/01/2008,31/07/2008,23/10/2012,31/01/2011,16/12/2011,1d
88,426,A,A,Immunoscience,jN,163,360,jN163-360,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIA,30/07/2007,22/01/2008,02/05/2011,20/06/2011,14/09/2011,1d
89,427,A,A,Metabolics,Tb,397,503,Tb397-503,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase IIA,11/11/2011,03/02/2012,17/10/2012,07/02/2013,07/10/2013,1d
90,428,A,A,Oncology,DN,296,166,DN296-166,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,28/10/2008,19/03/2009,19/05/2015,02/07/2015,01/09/2015,1d
91,429,A,A,Cardiovascular,gt,62,254,gt062-254,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase IV,19/03/2014,14/07/2014,08/02/2017,,07/07/2017,7
92,430,A,A,Virology,lo,166,415,lo166-415,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,21/12/2012,01/02/2013,12/03/2013,09/04/2013,11/07/2013,1d
93,431,A,A,Neuroscience,JB,832,461,JB832-461,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,01/05/2011,28/07/2011,14/05/2013,21/06/2013,03/01/2014,1d
94,432,A,A,Neuroscience,JB,832,179,JB832-179,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,09/12/2010,19/04/2011,30/01/2013,11/03/2013,03/12/2013,1d
95,433,A,A,Virology,lo,672,3,lo672-003,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase II,21/05/2012,24/07/2012,21/11/2013,13/02/2014,20/10/2014,1d
96,434,A,A,Virology,lo,672,292,lo672-292,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,21/10/2010,20/12/2010,13/09/2012,19/10/2012,10/07/2013,1d
97,435,A,A,Oncology,DN,123,954,DN123-954,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,12/06/2017,19/07/2017,15/10/2017,04/01/2018,05/02/2019,1d
98,436,A,A,Cardiovascular,gt,279,801,gt279-801,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,11/10/2017,18/10/2017,27/11/2017,04/01/2018,08/08/2018,1d
99,437,A,A,Oncology,DN,123,718,DN123-718,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,03/11/2017,09/11/2017,01/02/2018,07/03/2018,23/09/2018,1d
100,438,A,A,Oncology,DN,53,958,DN053-958,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase N/A,26/06/2014,28/08/2014,07/12/2017,,03/12/2018,7
101,439,A,A,Immunoscience,jN,342,728,jN342-728,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase III,01/04/2013,12/09/2013,30/07/2018,12/09/2018,24/01/2019,1a
102,440,A,A,Immunoscience,jN,165,839,jN165-839,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,04/10/2010,21/03/2011,05/01/2015,30/03/2015,09/12/2015,1d
103,441,A,A,Virology,lo,672,268,lo672-268,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,20/04/2010,14/07/2010,29/08/2012,15/11/2012,31/05/2013,1d
104,442,A,A,Cardiovascular,gt,279,373,gt279-373,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,29/09/2017,15/11/2017,28/12/2017,09/03/2018,19/11/2018,1b
105,443,A,A,Virology,lo,960,854,lo960-854,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,23/10/2015,05/01/2016,24/01/2016,03/08/2016,31/10/2016,1c
106,444,A,A,Virology,lo,846,786,lo846-786,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IV,07/03/2011,18/10/2011,18/02/2014,04/04/2014,12/11/2014,1d
107,445,A,A,Oncology,DN,53,188,DN053-188,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase III,21/09/2017,27/12/2017,22/05/2018,18/06/2018,21/08/2018,1d
108,446,A,A,Metabolics,Tb,803,468,Tb803-468,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,13/04/2012,09/07/2012,12/11/2012,23/10/2013,24/01/2014,1d
109,447,A,A,Virology,lo,672,954,lo672-954,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase III,05/12/2011,22/02/2012,20/03/2014,23/05/2014,28/10/2014,1d
110,448,A,A,Oncology,DN,617,661,DN617-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,12/03/2010,20/08/2010,18/11/2014,01/05/2015,05/11/2015,1d
111,449,A,A,Oncology,DN,617,841,DN617-841,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I/II,30/03/2011,29/09/2011,03/03/2016,15/06/2016,23/03/2017,1d
112,450,A,A,Neuroscience,JB,832,839,JB832-839,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,07/09/2011,26/03/2012,20/09/2012,03/06/2013,02/09/2013,1d
113,451,A,A,Oncology,DN,753,18,DN753-018,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,20/06/2012,09/08/2012,14/09/2012,30/11/2012,16/04/2013,1d
114,452,A,A,Virology,lo,672,980,lo672-980,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IIB,15/06/2010,12/08/2010,20/12/2012,07/03/2013,10/09/2013,1d
115,453,A,A,Virology,lo,166,528,lo166-528,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,01/04/2009,18/05/2009,01/07/2009,29/09/2009,07/06/2010,1d
116,454,A,A,Metabolics,Tb,132,841,Tb132-841,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,07/12/2011,26/01/2012,24/07/2012,12/11/2012,08/01/2013,1d
117,455,A,A,Immunoscience,jN,163,626,jN163-626,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase IV,04/05/2010,26/05/2010,06/05/2011,,01/02/2014,7
118,456,A,A,Immunoscience,jN,163,496,jN163-496,No,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase IV,19/10/2011,31/10/2011,31/07/2012,,11/02/2014,7
119,457,A,A,Metabolics,Tb,132,661,Tb132-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,27/09/2010,10/11/2010,30/01/2012,18/09/2012,08/01/2013,1d
120,458,A,A,Cardiovascular,gt,290,450,gt290-450,Yes,,Not Applicable,Yes,Active,Not Available,Operationally Closed,Phase I,20/09/2016,14/10/2016,26/05/2017,30/08/2017,09/08/2018,1d
121,459,A,A,Virology,lo,846,373,lo846-373,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I/II,17/11/2000,15/02/2002,15/09/2014,12/12/2014,26/02/2015,1d
122,460,A,A,Immunoscience,jN,321,775,jN321-775,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,27/02/2014,27/03/2014,12/05/2014,03/07/2014,02/12/2014,2a
123,461,A,A,Virology,lo,208,121,lo208-121,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,08/11/2015,11/01/2016,22/03/2016,15/04/2016,06/10/2016,2a
124,462,A,A,Oncology,DN,53,339,DN053-339,No,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Pre-clinical,,,,,30/10/2017,7
125,463,A,A,Neuroscience,JB,803,950,JB803-950,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,14/09/2011,17/11/2011,14/09/2012,11/02/2013,26/06/2013,1d
126,464,A,A,Virology,lo,960,936,lo960-936,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,04/07/2014,08/08/2014,19/09/2014,17/12/2014,16/09/2015,2a
127,465,A,A,Virology,lo,960,23,lo960-023,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,05/05/2014,02/06/2014,24/08/2014,05/11/2014,18/03/2015,2a
128,466,A,A,Neuroscience,JB,868,450,JB868-450,Yes,,Not Applicable,Not Available,Active,Not Available,Operationally Closed,Phase II/III,12/12/2016,12/03/2017,30/06/2020,12/08/2020,27/03/2017,1d
129,467,A,A,Oncology,DN,163,237,DN163-237,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,02/04/2009,03/08/2009,31/10/2012,06/12/2012,18/03/2014,1d
130,468,A,A,Cardiovascular,gt,90,661,gt090-661,Yes,,Not Applicable,Yes,*Closed,Not Available,Operationally Closed,Phase I,15/03/2012,15/05/2012,07/05/2013,22/01/2014,05/05/2014,2a
131,469,A,A,Virology,lo,29,661,lo029-661,Yes,,Not Applicable,Not Available,*Closed,Not Available,Operationally Closed,Phase I,15/08/2012,27/09/2012,20/02/2013,27/09/2013,24/01/2014,1d
